INFO 2023-12-21 18:04:23,641 autoreload Watching for file changes with StatReloader
DEBUG 2023-12-21 18:04:23,923 autoreload File B:\anaconda\envs\milo_is_gay\Lib\keyword.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,923 autoreload File B:\anaconda\envs\milo_is_gay\Lib\_compression.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,924 autoreload File B:\anaconda\envs\milo_is_gay\Lib\traceback.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,924 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\admin\checks.py first seen with mtime 1693929973.686996
DEBUG 2023-12-21 18:04:23,924 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\db\models\sql\constants.py first seen with mtime 1693929974.5669987
DEBUG 2023-12-21 18:04:23,925 autoreload File B:\anaconda\envs\milo_is_gay\Lib\decimal.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,925 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\template\autoreload.py first seen with mtime 1693929974.5989988
DEBUG 2023-12-21 18:04:23,925 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\templatetags\static.py first seen with mtime 1693929974.606999
DEBUG 2023-12-21 18:04:23,926 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\db\models\sql\subqueries.py first seen with mtime 1693929974.5709987
DEBUG 2023-12-21 18:04:23,926 autoreload File C:\Users\Jade Higgins\OneDrive - Technological University Dublin\4th-year-2023\awm-github\Advanced-Web\advanced-web-mapping\lab2-geo\geodjango\assignment1\admin.py first seen with mtime 1703181199.5675254
DEBUG 2023-12-21 18:04:23,927 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\template\loaders\__init__.py first seen with mtime 1693929974.602999
DEBUG 2023-12-21 18:04:23,927 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\middleware\security.py first seen with mtime 1693929974.5989988
DEBUG 2023-12-21 18:04:23,927 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\random\_pcg64.cp310-win_amd64.pyd first seen with mtime 1665171937.2498918
DEBUG 2023-12-21 18:04:23,928 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\db\migrations\operations\fields.py first seen with mtime 1693929974.5549986
DEBUG 2023-12-21 18:04:23,928 autoreload File B:\anaconda\envs\milo_is_gay\Lib\io.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,928 autoreload File B:\anaconda\envs\milo_is_gay\DLLs\_ctypes.pyd first seen with mtime 1687559882.932928
DEBUG 2023-12-21 18:04:23,930 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\core\mail\message.py first seen with mtime 1693929974.5189986
DEBUG 2023-12-21 18:04:23,930 autoreload File B:\anaconda\envs\milo_is_gay\Lib\bisect.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,930 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\polynomial\laguerre.py first seen with mtime 1665171937.2238913
DEBUG 2023-12-21 18:04:23,931 autoreload File B:\anaconda\envs\milo_is_gay\Lib\asyncio\constants.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,931 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\ma\core.py first seen with mtime 1665171937.1948922
DEBUG 2023-12-21 18:04:23,932 autoreload File B:\anaconda\envs\milo_is_gay\Lib\email\parser.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,932 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\forms\renderers.py first seen with mtime 1693929974.5709987
DEBUG 2023-12-21 18:04:23,932 autoreload File B:\anaconda\envs\milo_is_gay\Lib\stat.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,933 autoreload File B:\anaconda\envs\milo_is_gay\Lib\_collections_abc.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,933 autoreload File B:\anaconda\envs\milo_is_gay\Lib\shutil.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,933 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\sessions\apps.py first seen with mtime 1693929974.378998
DEBUG 2023-12-21 18:04:23,934 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\core\numerictypes.py first seen with mtime 1665171936.8308926
DEBUG 2023-12-21 18:04:23,934 autoreload File B:\anaconda\envs\milo_is_gay\Lib\concurrent\futures\__init__.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,935 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\forms\widgets.py first seen with mtime 1693929974.5749989
DEBUG 2023-12-21 18:04:23,935 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\polynomial\_polybase.py first seen with mtime 1665171937.217892
DEBUG 2023-12-21 18:04:23,935 autoreload File B:\anaconda\envs\milo_is_gay\Lib\inspect.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,936 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\staticfiles\checks.py first seen with mtime 1693929974.4989986
DEBUG 2023-12-21 18:04:23,936 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\gis\gdal\driver.py first seen with mtime 1693929974.1469975
DEBUG 2023-12-21 18:04:23,937 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\gis\gdal\prototypes\errcheck.py first seen with mtime 1693929974.1509974
DEBUG 2023-12-21 18:04:23,937 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\db\utils.py first seen with mtime 1693929974.5349987
DEBUG 2023-12-21 18:04:23,937 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\template\__init__.py first seen with mtime 1693929974.5989988
DEBUG 2023-12-21 18:04:23,938 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\colorama\__init__.py first seen with mtime 1665170792.7515018
DEBUG 2023-12-21 18:04:23,938 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\compat\_pep440.py first seen with mtime 1665171936.7728918
DEBUG 2023-12-21 18:04:23,939 autoreload File B:\anaconda\envs\milo_is_gay\Lib\ctypes\wintypes.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,939 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\contenttypes\checks.py first seen with mtime 1693929974.014997
DEBUG 2023-12-21 18:04:23,940 autoreload File B:\anaconda\envs\milo_is_gay\DLLs\_zoneinfo.pyd first seen with mtime 1687559860.3854437
DEBUG 2023-12-21 18:04:23,940 autoreload File B:\anaconda\envs\milo_is_gay\Lib\lzma.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,940 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\lib\polynomial.py first seen with mtime 1665171937.1478918
DEBUG 2023-12-21 18:04:23,940 autoreload File C:\Users\Jade Higgins\OneDrive - Technological University Dublin\4th-year-2023\awm-github\Advanced-Web\advanced-web-mapping\lab2-geo\geodjango\manage.py first seen with mtime 1696024109.2106318
DEBUG 2023-12-21 18:04:23,941 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\db\backends\utils.py first seen with mtime 1693929974.5349987
DEBUG 2023-12-21 18:04:23,941 autoreload File B:\anaconda\envs\milo_is_gay\Lib\posixpath.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,942 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\core\cache\utils.py first seen with mtime 1693929974.5069985
DEBUG 2023-12-21 18:04:23,942 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\template\loaders\base.py first seen with mtime 1693929974.602999
DEBUG 2023-12-21 18:04:23,942 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\template\smartif.py first seen with mtime 1693929974.602999
DEBUG 2023-12-21 18:04:23,943 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\db\models\fields\files.py first seen with mtime 1693929974.5629988
DEBUG 2023-12-21 18:04:23,943 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\auth\forms.py first seen with mtime 1693929973.9429967
DEBUG 2023-12-21 18:04:23,943 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\db\models\functions\math.py first seen with mtime 1693929974.5669987
DEBUG 2023-12-21 18:04:23,944 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\core\checks\translation.py first seen with mtime 1693929974.5109985
DEBUG 2023-12-21 18:04:23,944 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\views\static.py first seen with mtime 1693929974.626999
DEBUG 2023-12-21 18:04:23,944 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\core\management\commands\__init__.py first seen with mtime 1693929974.5229986
DEBUG 2023-12-21 18:04:23,945 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\db\models\functions\comparison.py first seen with mtime 1693929974.5669987
DEBUG 2023-12-21 18:04:23,945 autoreload File B:\anaconda\envs\milo_is_gay\Lib\asyncio\threads.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,945 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\views\decorators\common.py first seen with mtime 1693929974.626999
DEBUG 2023-12-21 18:04:23,946 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\core\serializers\python.py first seen with mtime 1693929974.5309987
DEBUG 2023-12-21 18:04:23,946 autoreload File B:\anaconda\envs\milo_is_gay\Lib\abc.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,947 autoreload File B:\anaconda\envs\milo_is_gay\Lib\asyncio\__init__.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,947 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\core\checks\caches.py first seen with mtime 1693929974.5109985
DEBUG 2023-12-21 18:04:23,947 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\template\loaders\filesystem.py first seen with mtime 1693929974.602999
DEBUG 2023-12-21 18:04:23,948 autoreload File B:\anaconda\envs\milo_is_gay\Lib\asyncio\windows_events.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,948 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\utils\translation\trans_real.py first seen with mtime 1693929974.622999
DEBUG 2023-12-21 18:04:23,948 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\_version.py first seen with mtime 1665171936.5620928
DEBUG 2023-12-21 18:04:23,949 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\db\backends\postgresql\psycopg_any.py first seen with mtime 1693929974.5469987
DEBUG 2023-12-21 18:04:23,949 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\gis\db\backends\base\features.py first seen with mtime 1693929974.1349974
DEBUG 2023-12-21 18:04:23,949 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\core\files\__init__.py first seen with mtime 1693929974.5149987
DEBUG 2023-12-21 18:04:23,950 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\core\fromnumeric.py first seen with mtime 1665171936.8198922
DEBUG 2023-12-21 18:04:23,950 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\db\transaction.py first seen with mtime 1693929974.5349987
DEBUG 2023-12-21 18:04:23,950 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\psycopg2\extensions.py first seen with mtime 1688999524.2440944
DEBUG 2023-12-21 18:04:23,951 autoreload File B:\anaconda\envs\milo_is_gay\Lib\contextlib.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,951 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\gis\db\models\sql\conversion.py first seen with mtime 1693929974.1429975
DEBUG 2023-12-21 18:04:23,952 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\utils\__init__.py first seen with mtime 1693929974.6109989
DEBUG 2023-12-21 18:04:23,952 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\template\base.py first seen with mtime 1693929974.5989988
DEBUG 2023-12-21 18:04:23,953 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\gis\gdal\layer.py first seen with mtime 1693929974.1469975
DEBUG 2023-12-21 18:04:23,953 autoreload File B:\anaconda\envs\milo_is_gay\Lib\mimetypes.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,953 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\linalg\__init__.py first seen with mtime 1665171937.1838915
DEBUG 2023-12-21 18:04:23,954 autoreload File C:\Users\Jade Higgins\OneDrive - Technological University Dublin\4th-year-2023\awm-github\Advanced-Web\advanced-web-mapping\lab2-geo\geodjango\assignment1\forms.py first seen with mtime 1699801996.793931
DEBUG 2023-12-21 18:04:23,954 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\core\exceptions.py first seen with mtime 1693929974.5029986
DEBUG 2023-12-21 18:04:23,954 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\gis\db\backends\postgis\__init__.py first seen with mtime 1693929974.1389973
DEBUG 2023-12-21 18:04:23,955 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\utils\timezone.py first seen with mtime 1693929974.622999
DEBUG 2023-12-21 18:04:23,955 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\utils\version.py first seen with mtime 1693929974.622999
DEBUG 2023-12-21 18:04:23,955 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\ctypeslib.py first seen with mtime 1665171936.563093
DEBUG 2023-12-21 18:04:23,956 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\gis\db\backends\postgis\operations.py first seen with mtime 1693929974.1389973
DEBUG 2023-12-21 18:04:23,956 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\core\function_base.py first seen with mtime 1665171936.8218915
DEBUG 2023-12-21 18:04:23,956 autoreload File B:\anaconda\envs\milo_is_gay\Lib\operator.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,957 autoreload File B:\anaconda\envs\milo_is_gay\Lib\email\policy.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,957 autoreload File B:\anaconda\envs\milo_is_gay\Lib\http\client.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,957 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\core\files\images.py first seen with mtime 1693929974.5149987
DEBUG 2023-12-21 18:04:23,957 autoreload File B:\anaconda\envs\milo_is_gay\Lib\getpass.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,958 autoreload File B:\anaconda\envs\milo_is_gay\DLLs\_asyncio.pyd first seen with mtime 1687559859.3381722
DEBUG 2023-12-21 18:04:23,958 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\gis\gdal\field.py first seen with mtime 1693929974.1469975
DEBUG 2023-12-21 18:04:23,958 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\_distributor_init.py first seen with mtime 1665171936.5580928
DEBUG 2023-12-21 18:04:23,959 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\__init__.py first seen with mtime 1693929973.686996
DEBUG 2023-12-21 18:04:23,959 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\core\getlimits.py first seen with mtime 1665171936.823891
DEBUG 2023-12-21 18:04:23,960 autoreload File B:\anaconda\envs\milo_is_gay\Lib\urllib\error.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,960 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\gis\db\models\aggregates.py first seen with mtime 1693929974.1429975
DEBUG 2023-12-21 18:04:23,960 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\lib\utils.py first seen with mtime 1665171937.159892
DEBUG 2023-12-21 18:04:23,960 autoreload File B:\anaconda\envs\milo_is_gay\Lib\datetime.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,961 autoreload File B:\anaconda\envs\milo_is_gay\Lib\__future__.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,961 autoreload File B:\anaconda\envs\milo_is_gay\Lib\random.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,961 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\core\files\storage\filesystem.py first seen with mtime 1693929974.5149987
DEBUG 2023-12-21 18:04:23,962 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\core\files\base.py first seen with mtime 1693929974.5149987
DEBUG 2023-12-21 18:04:23,962 autoreload File B:\anaconda\envs\milo_is_gay\Lib\dataclasses.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,962 autoreload File B:\anaconda\envs\milo_is_gay\Lib\importlib\metadata\_text.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,963 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\template\loader.py first seen with mtime 1693929974.5989988
DEBUG 2023-12-21 18:04:23,963 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\gis\geos\mutable_list.py first seen with mtime 1693929974.1549973
DEBUG 2023-12-21 18:04:23,963 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\forms\forms.py first seen with mtime 1693929974.5709987
DEBUG 2023-12-21 18:04:23,964 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\core\handlers\__init__.py first seen with mtime 1693929974.5189986
DEBUG 2023-12-21 18:04:23,964 autoreload File B:\anaconda\envs\milo_is_gay\DLLs\_ssl.pyd first seen with mtime 1687559885.5590234
DEBUG 2023-12-21 18:04:23,964 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\gis\geos\prototypes\prepared.py first seen with mtime 1693929974.1589975
DEBUG 2023-12-21 18:04:23,965 autoreload File B:\anaconda\envs\milo_is_gay\Lib\email\mime\message.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,965 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\template\defaulttags.py first seen with mtime 1693929974.5989988
DEBUG 2023-12-21 18:04:23,965 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\db\migrations\exceptions.py first seen with mtime 1693929974.5509987
DEBUG 2023-12-21 18:04:23,966 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\gis\geos\prototypes\topology.py first seen with mtime 1693929974.1589975
DEBUG 2023-12-21 18:04:23,966 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\gis\db\backends\postgis\base.py first seen with mtime 1693929974.1389973
DEBUG 2023-12-21 18:04:23,966 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\core\checks\async_checks.py first seen with mtime 1693929974.5109985
DEBUG 2023-12-21 18:04:23,967 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\db\backends\postgresql\schema.py first seen with mtime 1693929974.5469987
DEBUG 2023-12-21 18:04:23,967 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\views\decorators\csrf.py first seen with mtime 1693929974.626999
DEBUG 2023-12-21 18:04:23,967 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\core\__init__.py first seen with mtime 1665171936.7768924
DEBUG 2023-12-21 18:04:23,968 autoreload File B:\anaconda\envs\milo_is_gay\Lib\threading.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,968 autoreload File B:\anaconda\envs\milo_is_gay\Lib\asyncio\base_subprocess.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,968 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\corsheaders\__init__.py first seen with mtime 1702935422.493031
DEBUG 2023-12-21 18:04:23,969 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\db\backends\ddl_references.py first seen with mtime 1693929974.5349987
DEBUG 2023-12-21 18:04:23,969 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\db\migrations\operations\models.py first seen with mtime 1693929974.5549986
DEBUG 2023-12-21 18:04:23,970 autoreload File B:\anaconda\envs\milo_is_gay\Lib\wsgiref\__init__.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,970 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\lib\twodim_base.py first seen with mtime 1665171937.154892
DEBUG 2023-12-21 18:04:23,970 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\gis\gdal\__init__.py first seen with mtime 1693929974.1469975
DEBUG 2023-12-21 18:04:23,971 autoreload File B:\anaconda\envs\milo_is_gay\Lib\urllib\request.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,971 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\core\_add_newdocs.py first seen with mtime 1665171936.7788918
DEBUG 2023-12-21 18:04:23,971 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\gis\gdal\srs.py first seen with mtime 1693929974.1469975
DEBUG 2023-12-21 18:04:23,971 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\gis\gdal\error.py first seen with mtime 1693929974.1469975
DEBUG 2023-12-21 18:04:23,972 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\db\models\expressions.py first seen with mtime 1693929974.5589988
DEBUG 2023-12-21 18:04:23,972 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\core\_exceptions.py first seen with mtime 1665171936.7838922
DEBUG 2023-12-21 18:04:23,972 autoreload File B:\anaconda\envs\milo_is_gay\Lib\asyncio\protocols.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,973 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\gis\db\backends\base\models.py first seen with mtime 1693929974.1349974
DEBUG 2023-12-21 18:04:23,973 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\views\generic\base.py first seen with mtime 1693929974.6309988
DEBUG 2023-12-21 18:04:23,973 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\corsheaders\conf.py first seen with mtime 1702935422.4949954
DEBUG 2023-12-21 18:04:23,974 autoreload File B:\anaconda\envs\milo_is_gay\Lib\selectors.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,974 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\core\handlers\base.py first seen with mtime 1693929974.5189986
DEBUG 2023-12-21 18:04:23,974 autoreload File B:\anaconda\envs\milo_is_gay\Lib\email\base64mime.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,974 autoreload File B:\anaconda\envs\milo_is_gay\Lib\bz2.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,975 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\lib\index_tricks.py first seen with mtime 1665171937.140891
DEBUG 2023-12-21 18:04:23,975 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\db\backends\base\validation.py first seen with mtime 1693929974.5389986
DEBUG 2023-12-21 18:04:23,975 autoreload File B:\anaconda\envs\milo_is_gay\Lib\ctypes\_endian.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,976 autoreload File B:\anaconda\envs\milo_is_gay\Lib\email\errors.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:04:23,976 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\random\_sfc64.cp310-win_amd64.pyd first seen with mtime 1665171937.253892
DEBUG 2023-12-21 18:04:23,976 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\gis\ptr.py first seen with mtime 1693929974.1309974
DEBUG 2023-12-21 18:04:23,976 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\admin\exceptions.py first seen with mtime 1693929973.686996
DEBUG 2023-12-21 18:04:23,977 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\sqlparse\engine\__init__.py first seen with mtime 1681817740.5884488
DEBUG 2023-12-21 18:04:23,977 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\utils\hashable.py first seen with mtime 1693929974.618999
DEBUG 2023-12-21 18:04:23,977 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\sqlparse\keywords.py first seen with mtime 1681817740.5884488
